"","Name","Type","Cat.","PP","Att.","Acc.","Effect","move_type"
"27","Body Press","","","10","80","100","The user attacks by slamming its body into the target. The higher the user's Defense, the more damage it can inflict on the target.","physical"
"28","Body Slam","","","15","85","100","The user drops onto the target with its full body weight. This may also leave the target with paralysis.","physical"
"29","Bolt Beak","","","10","85","100","The user stabs the target with its electrified beak. If the user attacks before the target, the power of this move is doubled.","physical"
"30","Bolt Strike","","","5","130","85","The user surrounds itself with a great amount of electricity and charges its target. This may also leave the target with paralysis.","physical"
"31","Bone Club","","","20","65","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"32","Bone Rush","","","10","25","90","The user strikes the target with a hard bone two to five times in a row.","physical"
"33","Bonemerang","","","10","50","90","The user throws the bone it holds. The bone loops around to hit the target twice—coming and going.","physical"
"34","Bounce","","","5","85","85","The user bounces up high, then drops on the target on the second turn. This may also leave the target with paralysis.","physical"
"35","Branch Poke","","","40","40","100","The user attacks the target by poking it with a sharply pointed branch.","physical"
"36","Brave Bird","","","15","120","100","The user tucks in its wings and charges from a low altitude. This also damages the user quite a lot.","physical"
"37","Breaking Swipe","","","15","60","100","The user swings its tough tail wildly and attacks opposing Pokémon. This also lowers their Attack stats.","physical"
"38","Breakneck Blitz","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"39","Brick Break","","","15","75","100","The user attacks with a swift chop. It can also break barriers, such as Light Screen and Reflect.","physical"
"40","Brutal Swing","","","20","60","100","The user swings its body around violently to inflict damage on everything in its vicinity.","physical"
"41","Bug Bite","","","20","60","100","The user bites the target. If the target is holding a Berry, the user eats it and gains its effect.","physical"
"42","Bulldoze","","","20","60","100","The user strikes everything around it by stomping down on the ground. This lowers the Speed stats of those hit.","physical"
"43","Bullet Punch","","","30","40","100","The user strikes the target with tough punches as fast as bullets. This move always goes first.","physical"
"44","Bullet Seed","","","30","25","100","The user forcefully shoots seeds at the target two to five times in a row.","physical"
"45","Catastropika","","","1","210","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"46","Ceaseless Edge","","","15","65","90","The user slashes its shell blade at the target, aiming to land a critical hit. Shell splinters left behind by this attack will continue to damage the target for several turns.","physical"
"47","Chip Away","","","20","70","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"48","Circle Throw","","","10","60","90","The target is thrown, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","physical"
"49","Clamp","","","15","35","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"50","Close Combat","","","5","120","100","The user fights the target up close without guarding itself. This also lowers the user's Defense and Sp. Def stats.","physical"
"51","Comet Punch","","","15","18","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"52","Constrict","","","35","10","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"53","Continental Crush","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"54","Corkscrew Crash","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"55","Counter","","","20","--","100","A retaliation move that counters any physical attack, inflicting double the damage taken.","physical"
"56","Covet","","","25","60","100","The user endearingly approaches the target, then steals the target's held item.","physical"
"57","Crabhammer","","","10","100","90","The target is hammered with a large pincer. Critical hits land more easily.","physical"
"58","Cross Chop","","","5","100","80","The user delivers a double chop with its forearms crossed. Critical hits land more easily.","physical"
"59","Cross Poison","","","20","70","100","A slashing attack with a poisonous blade that may also poison the target. Critical hits land more easily.","physical"
"60","Crunch","","","15","80","100","The user crunches up the target with sharp fangs. This may also lower the target's Defense stat.","physical"
"61","Crush Claw","","","10","75","95","The user slashes the target with hard and sharp claws. This may also lower the target's Defense stat.","physical"
"62","Crush Grip","","","5","--","100","The target is crushed with great force. The more HP the target has left, the greater this move's power.","physical"
"63","Cut","","","30","50","95","The target is cut with a scythe or claw.","physical"
"64","Darkest Lariat","","","10","85","100","The user swings both arms and hits the target. The target's stat changes don't affect this attack's damage.","physical"
"65","Devastating Drake","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"66","Diamond Storm","","","5","100","95","The user whips up a storm of diamonds to damage opposing Pokémon. This may also sharply raise the user's Defense stat.","physical"
"67","Dig","","","10","80","100","The user burrows into the ground, then attacks on the next turn.","physical"
"68","Dire Claw","","","15","60","100","The user lashes out at the target with ruinous claws, aiming to land a critical hit. This may also leave the target poisoned, paralyzed, or drowsy.","physical"
"69","Dive","","","10","80","100","Diving on the first turn, the user floats up and attacks on the next turn.","physical"
"70","Dizzy Punch","","","10","70","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"71","Double Hit","","","10","35","90","The user slams the target with a long tail, vines, or a tentacle. The target is hit twice in a row.","physical"
"72","Double Iron Bash","","","5","60","100","The user rotates, centering the hex nut in its chest, and then strikes with its arms twice in a row. This may also make the target flinch.","physical"
"73","Double Kick","","","30","30","100","The target is quickly kicked twice in succession using both feet.","physical"
"74","Double Slap","","","10","15","85","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"75","Double-Edge","","","15","120","100","A reckless, life-risking tackle in which the user rushes the target. This also damages the user quite a lot.","physical"
"76","Dragon Ascent","","","5","120","100","After soaring upward, the user attacks its target by dropping out of the sky at high speeds. But it lowers its own Defense and Sp. Def stats in the process.","physical"
"77","Dragon Claw","","","15","80","100","The user slashes the target with huge sharp claws.","physical"
"78","Dragon Darts","","","10","50","100","The user attacks twice using Dreepy. If there are two targets, this move hits each target once.","physical"
"79","Dragon Hammer","","","15","90","100","The user uses its body like a hammer to attack the target and inflict damage.","physical"
"80","Dragon Rush","","","10","100","75","The user tackles the target while exhibiting overwhelming menace. This may also make the target flinch.","physical"
"81","Dragon Tail","","","10","60","90","The target is knocked away, and a different Pokémon is dragged out. In the wild, this ends a battle against a single Pokémon.","physical"
"82","Drain Punch","","","10","75","100","An energy-draining punch. The user's HP is restored by half the damage taken by the target.","physical"
"83","Drill Peck","","","20","80","100","A corkscrewing attack that strikes the target with a sharp beak acting as a drill.","physical"
"84","Drill Run","","","10","80","95","The user crashes into its target while rotating its body like a drill. Critical hits land more easily.","physical"
"85","Drum Beating","","","10","80","100","The user plays its drum, controlling the drum's roots to attack the target. This also lowers the target's Speed stat.","physical"
"86","Dual Chop","","","15","40","90","The user attacks its target by hitting it with brutal strikes. The target is hit twice in a row.","physical"
"87","Dual Wingbeat","","","10","40","90","The user slams the target with its wings. The target is hit twice in a row.","physical"
"88","Dynamic Punch","","","5","100","50","The user punches the target with full, concentrated power. This confuses the target if it hits.","physical"
"89","Earthquake","","","10","100","100","The user sets off an earthquake that strikes every Pokémon around it.","physical"
"90","Egg Bomb","","","10","100","75","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"91","Endeavor","","","5","--","100","This attack move cuts down the target's HP to equal the user's HP.","physical"
"92","Explosion","","","5","250","100","The user attacks everything around it by causing a tremendous explosion. The user faints upon using this move.","physical"
"93","Extreme Speed","","","5","80","100","The user charges the target at blinding speed. This move always goes first.","physical"
"94","Facade","","","20","70","100","This attack move doubles its power if the user is poisoned, burned, or paralyzed.","physical"
"95","Fake Out","","","10","40","100","This attack hits first and makes the target flinch. It only works the first turn each time the user enters battle.","physical"
"96","False Surrender","","","10","80","101","The user pretends to bow its head, but then it stabs the target with its disheveled hair. This attack never misses.","physical"
"97","False Swipe","","","40","40","100","A restrained attack that prevents the target from fainting. The target is left with at least 1 HP.","physical"
"98","Feint","","","10","30","100","This attack hits a target using a move such as Protect or Detect. This also lifts the effects of those moves.","physical"
"99","Feint Attack","","","20","60","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"100","Fell Stinger","","","25","50","100","When the user knocks out a target with this move, the user's Attack stat rises drastically.","physical"
"101","Fire Fang","","","15","65","95","The user bites with flame-cloaked fangs. This may also make the target flinch or leave it with a burn.","physical"
"102","Fire Lash","","","15","80","100","The user strikes the target with a burning lash. This also lowers the target's Defense stat.","physical"
"103","Fire Punch","","","15","75","100","The target is punched with a fiery fist. This may also leave the target with a burn.","physical"
"104","First Impression","","","10","90","100","Although this move has great power, it only works the first turn each time the user enters battle.","physical"
"105","Fishious Rend","","","10","85","100","The user rends the target with its hard gills. If the user attacks before the target, the power of this move is doubled.","physical"
"106","Fissure","","","5","--","30","The user opens up a fissure in the ground and drops the target in. The target faints instantly if this attack hits.","physical"
"107","Flail","","","15","--","100","The user flails about aimlessly to attack. The less HP the user has, the greater the move's power.","physical"
"108","Flame Charge","","","20","50","100","Cloaking itself in flame, the user attacks the target. Then, building up more power, the user raises its Speed stat.","physical"
"109","Flame Wheel","","","25","60","100","The user cloaks itself in fire and charges at the target. This may also leave the target with a burn.","physical"
"110","Flare Blitz","","","15","120","100","The user cloaks itself in fire and charges the target. This also damages the user quite a lot. This attack may leave the target with a burn.","physical"
"111","Fling","","","10","--","100","The user flings its held item at the target to attack. This move's power and effects depend on the item.","physical"
"112","Flip Turn","","","20","60","100","After making its attack, the user rushes back to switch places with a party Pokémon in waiting.","physical"
"113","Floaty Fall","","","15","90","95","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"114","Fly","","","15","90","95","The user flies up into the sky and then strikes its target on the next turn.","physical"
"115","Flying Press","","","10","100","95","The user dives down onto the target from the sky. This move is Fighting and Flying type simultaneously.","physical"
"116","Focus Punch","","","20","150","100","The user focuses its mind before launching a punch. This move fails if the user is hit before it is used.","physical"
"117","Force Palm","","","10","60","100","The target is attacked with a shock wave. This may also leave the target with paralysis.","physical"
"118","Foul Play","","","15","95","100","The user turns the target's power against it. The higher the target's Attack stat, the greater the damage it deals.","physical"
"119","Freeze Shock","","","5","140","90","On the second turn, the user hits the target with electrically charged ice. This may also leave the target with paralysis.","physical"
"120","Frustration","","","20","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"121","Fury Attack","","","20","15","85","The target is jabbed repeatedly with a horn or beak two to five times in a row.","physical"
"122","Fury Cutter","","","20","40","95","The target is slashed with scythes or claws. This attack becomes more powerful if it hits in succession.","physical"
"123","Fury Swipes","","","15","18","80","The target is raked with sharp claws or scythes quickly two to five times in a row.","physical"
"124","Fusion Bolt","","","5","100","100","The user throws down a giant lightning bolt. This move's power is increased when influenced by an enormous flame.","physical"
"125","G-Max Befuddle","","","10","--","101","A Bug-type attack that Gigantamax Butterfree use. This move inflicts the poisoned, paralyzed, or asleep status condition on opponents.","physical"
"126","G-Max Cannonade","","","10","--","101","A Water-type attack that Gigantamax Blastoise use. This move continues to deal damage to opponents for four turns.","physical"
"127","G-Max Centiferno","","","10","--","101","A Fire-type attack that Gigantamax Centiskorch use. This move traps opponents in flames for four to five turns.","physical"
"128","G-Max Chi Strike","","","10","--","101","A Fighting-type attack that Gigantamax Machamp use. This move raises the chance of critical hits.","physical"
"129","G-Max Cuddle","","","10","--","101","A Normal-type attack that Gigantamax Eevee use. This move infatuates opponents.","physical"
"130","G-Max Depletion","","","10","--","101","A Dragon-type attack that Gigantamax Duraludon use. Reduces the PP of the last move used.","physical"
"131","G-Max Drum Solo","","","10","--","101","A Grass-type attack that Gigantamax Rillaboom use. This move can be used on the target regardless of its Abilities.","physical"
"132","G-Max Finale","","","10","--","101","A Fairy-type attack that Gigantamax Alcremie use. This move heals the HP of allies.","physical"
"133","G-Max Fireball","","","10","--","101","A Fire-type attack that Gigantamax Cinderace use. This move can be used on the target regardless of its Abilities","physical"
"134","G-Max Foam Burst","","","10","--","101","A Water-type attack that Gigantamax Kingler use. This move harshly lowers the Speed of opponents.","physical"
"135","G-Max Gold Rush","","","10","--","101","A Normal-type attack that Gigantamax Meowth use. This move confuses opponents and also earns extra money.","physical"
"136","G-Max Gravitas","","","10","--","101","A Psychic-type attack that Gigantamax Orbeetle use. This move changes gravity for five turns.","physical"
"137","G-Max Hydrosnipe","","","10","--","101","A Water-type attack that Gigantamax Inteleon use. This move can be used on the target regardless of its Abilities.","physical"
"138","G-Max Malodor","","","10","--","101","A Poison-type attack that Gigantamax Garbodor use. This move poisons opponents.","physical"
"139","G-Max Meltdown","","","10","--","101","A Steel-type attack that Gigantamax Melmetal use. This move makes opponents incapable of using the same move twice in a row.","physical"
"140","G-Max One Blow","","","10","--","101","A Dark-type attack that Gigantamax Urshifu use. This single-strike move can ignore Max Guard.","physical"
"141","G-Max Rapid Flow","","","10","--","101","A Water-type attack that Gigantamax Urshifu use. This rapid-strike move can ignore Max Guard.","physical"
"142","G-Max Replenish","","","10","--","101","A Normal-type attack that Gigantamax Snorlax use. This move restores Berries that have been eaten.","physical"
"143","G-Max Resonance","","","10","--","101","An Ice-type attack that Gigantamax Lapras use. This move reduces the damage received for five turns.","physical"
"144","G-Max Sandblast","","","10","--","101","A Ground-type attack that Gigantamax Sandaconda use. Opponents are trapped in a raging sandstorm for four to five turns.","physical"
"145","G-Max Smite","","","10","--","101","A Fairy-type attack that Gigantamax Hatterene use. This move confuses opponents.","physical"
"146","G-Max Snooze","","","10","--","101","A Dark-type attack that Gigantamax Grimmsnarl use. The user lets loose a huge yawn that lulls the targets into falling asleep on the next turn.","physical"
"147","G-Max Steelsurge","","","10","--","101","A Steel-type attack that Gigantamax Copperajah use. This move scatters sharp spikes around the field.","physical"
"148","G-Max Stonesurge","","","10","--","101","A Water-type attack that Gigantamax Drednaw use. This move scatters sharp rocks around the field.","physical"
"149","G-Max Stun Shock","","","10","--","101","An Electric-type attack that Gigantamax Toxtricity use. This move poisons or paralyzes opponents.","physical"
"150","G-Max Sweetness","","","10","--","101","A Grass-type attack that Gigantamax Appletun use. This move heals the status conditions of allies.","physical"
"151","G-Max Tartness","","","10","--","101","A Grass-type attack that Gigantamax Flapple use. This move reduces the opponents’ evasiveness.","physical"
"152","G-Max Terror","","","10","--","101","A Ghost-type attack that Gigantamax Gengar use. This Pokémon steps on the opposing Pokémon’s shadow to prevent them from escaping.","physical"
"153","G-Max Vine Lash","","","10","--","101","A Grass-type attack that Gigantamax Venusaur use. This move continues to deal damage to opponents for four turns.","physical"
"154","G-Max Volcalith","","","10","--","101","A Rock-type attack that Gigantamax Coalossal use. This move continues to deal damage to opponents for four turns.","physical"
"155","G-Max Volt Crash","","","10","--","101","An Electric-type attack that Gigantamax Pikachu use. This move paralyzes opponents.","physical"
"156","G-Max Wildfire","","","10","--","101","A Fire-type attack that Gigantamax Charizard use. This move continues to deal damage to opponents for four turns.","physical"
"157","G-Max Wind Rage","","","10","--","101","A Flying-type attack that Gigantamax Corviknight use. This move removes the effects of moves like Reflect and Light Screen.","physical"
"158","Gear Grind","","","15","50","85","The user attacks by throwing steel gears at its target twice.","physical"
"159","Giga Impact","","","5","150","90","The user charges at the target using every bit of its power. The user can't move on the next turn.","physical"
"160","Gigavolt Havoc","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"161","Glacial Lance","","","5","130","100","The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.","physical"
"162","Grassy Glide","","","20","70","100","Gliding on the ground, the user attacks the target. This move always goes first on Grassy Terrain.","physical"
"163","Grav Apple","","","10","80","100","The user inflicts damage by dropping an apple from high above. This also lowers the target's Defense stat.","physical"
"164","Guillotine","","","5","--","30","A vicious, tearing attack with big pincers. The target faints instantly if this attack hits.","physical"
"165","Gunk Shot","","","5","120","80","The user shoots filthy garbage at the target to attack. This may also poison the target.","physical"
"166","Gyro Ball","","","5","--","100","The user tackles the target with a high-speed spin. The slower the user compared to the target, the greater the move's power.","physical"
"167","Hammer Arm","","","10","100","90","The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.","physical"
"168","Head Charge","","","15","120","100","The user charges its head into its target, using its powerful guard hair. This also damages the user a little.","physical"
"169","Head Smash","","","5","150","80","The user attacks the target with a hazardous, full-power headbutt. This also damages the user terribly.","physical"
"170","Headbutt","","","15","70","100","The user sticks out its head and attacks by charging straight into the target. This may also make the target flinch.","physical"
"171","Headlong Rush","","","5","100","100","The user smashes into the target in a full-body tackle. This also lowers the userâ<U+0080><U+0099>s defensive stats.","physical"
"172","Heart Stamp","","","25","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"173","Heat Crash","","","10","--","100","The user slams its target with its flame-covered body. The more the user outweighs the target, the greater the move's power.","physical"
"174","Heavy Slam","","","10","--","100","The user slams into the target with its heavy body. The more the user outweighs the target, the greater the move's power.","physical"
"175","High Horsepower","","","10","95","95","The user fiercely attacks the target using its entire body.","physical"
"176","High Jump Kick","","","10","130","90","The target is attacked with a knee kick from a jump. If it misses, the user is hurt instead.","physical"
"177","Hold Back","","","40","40","100","The user holds back when it attacks, and the target is left with at least 1 HP.","physical"
"178","Horn Attack","","","25","65","100","The target is jabbed with a sharply pointed horn to inflict damage.","physical"
"179","Horn Drill","","","5","--","30","The user stabs the target with a horn that rotates like a drill. The target faints instantly if this attack hits.","physical"
"180","Horn Leech","","","10","75","100","The user drains the target's energy with its horns. The user's HP is restored by half the damage taken by the target.","physical"
"181","Hydro Vortex","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"182","Hyper Fang","","","15","80","90","The user bites hard on the target with its sharp front fangs. This may also make the target flinch.","physical"
"183","Hyperspace Fury","","","5","100","101","Using its many arms, the user unleashes a barrage of attacks that ignore the effects of moves like Protect and Detect. But the user's Defense stat falls.","physical"
"184","Ice Ball","","","20","30","90","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"185","Ice Fang","","","15","65","95","The user bites with cold-infused fangs. This may also make the target flinch or leave it frozen.","physical"
"186","Ice Hammer","","","10","100","90","The user swings and hits with its strong, heavy fist. It lowers the user's Speed, however.","physical"
"187","Ice Punch","","","15","75","100","The target is punched with an icy fist. This may also leave the target frozen.","physical"
"188","Ice Shard","","","30","40","100","The user flash-freezes chunks of ice and hurls them at the target. This move always goes first.","physical"
"189","Icicle Crash","","","10","85","90","The user attacks by harshly dropping large icicles onto the target. This may also make the target flinch.","physical"
"190","Icicle Spear","","","30","25","100","The user launches sharp icicles at the target two to five times in a row.","physical"
"191","Inferno Overdrive","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"192","Iron Head","","","15","80","100","The user slams the target with its steel-hard head. This may also make the target flinch.","physical"
"193","Iron Tail","","","15","100","75","The target is slammed with a steel-hard tail. This may also lower the target's Defense stat.","physical"
"194","Jaw Lock","","","10","80","100","This move prevents the user and the target from switching out until either of them faints. The effect goes away if either of the Pokémon leaves the field.","physical"
"195","Jump Kick","","","10","100","95","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"196","Karate Chop","","","25","50","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"197","Knock Off","","","20","65","100","The user slaps down the target's held item, and that item can't be used in that battle. The move does more damage if the target has a held item.","physical"
"198","Land's Wrath","","","10","90","100","The user gathers the energy of the land and focuses that power on opposing Pokémon to damage them.","physical"
"199","Lash Out","","","5","75","100","The user lashes out to vent its frustration toward the target. If the user's stats were lowered during this turn, the power of this move is doubled.","physical"
"200","Last Resort","","","5","140","100","This move can be used only after the user has used all the other moves it knows in the battle.","physical"
"201","Leaf Blade","","","15","90","100","The user handles a sharp leaf like a sword and attacks by cutting its target. Critical hits land more easily.","physical"
"202","Leafage","","","40","40","100","The user attacks by pelting the target with leaves.","physical"
"203","Leech Life","","","10","80","100","The user drains the target's blood. The user's HP is restored by half the damage taken by the target.","physical"
"204","Let's Snuggle Forever","","","1","190","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"205","Lick","","","30","30","100","The target is licked with a long tongue, causing damage. This may also leave the target with paralysis.","physical"
"206","Liquidation","","","10","85","100","The user slams into the target using a full-force blast of water. This may also lower the target's Defense stat.","physical"
"207","Low Kick","","","20","--","100","A powerful low kick that makes the target fall over. The heavier the target, the greater the move's power.","physical"
"208","Low Sweep","","","20","65","100","The user makes a swift attack on the target's legs, which lowers the target's Speed stat.","physical"
"209","Lunge","","","15","80","100","The user makes a lunge at the target, attacking with full force. This also lowers the target's Attack stat.","physical"
"210","Mach Punch","","","30","40","100","The user throws a punch at blinding speed. This move always goes first.","physical"
"211","Magnet Bomb","","","20","60","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"212","Magnitude","","","30","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"213","Malicious Moonsault","","","1","180","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"214","Max Airstream","","","10","--","101","This is a Flying-type attack Dynamax Pokémon use. This raises ally Pokémon's Speed stats.","physical"
"215","Max Darkness","","","10","--","101","This is a Dark-type attack Dynamax Pokémon use. This lowers the target's Sp. Def stat.","physical"
"216","Max Flare","","","10","--","101","This is a Fire-type attack Dynamax Pokémon use. The user intensifies the sun for five turns.","physical"
"217","Max Flutterby","","","10","--","101","This is a Bug-type attack Dynamax Pokémon use. This lowers the target's Sp. Atk stat.","physical"
"218","Max Geyser","","","10","--","101","This is a Water-type attack Dynamax Pokémon use. The user summons a heavy rain that falls for five turns.","physical"
"219","Max Hailstorm","","","10","--","101","This is an Ice-type attack Dynamax Pokémon use. The user summons a hailstorm lasting five turns.","physical"
"220","Max Knuckle","","","10","--","101","This is a Fighting-type attack Dynamax Pokémon use. This raises ally Pokémon's Attack stats.","physical"
"221","Max Lightning","","","10","--","101","This is an Electric-type attack Dynamax Pokémon use. The user turns the ground into Electric Terrain for five turns.","physical"
"222","Max Mindstorm","","","10","--","101","This is a Psychic-type attack Dynamax Pokémon use. The user turns the ground into Psychic Terrain for five turns.","physical"
"223","Max Ooze","","","10","--","101","This is a Poison-type attack Dynamax Pokémon use. This raises ally Pokémon's Sp. Atk stats.","physical"
"224","Max Overgrowth","","","10","--","101","This is a Grass-type attack Dynamax Pokémon use. The user turns the ground into Grassy Terrain for five turns.","physical"
"225","Max Phantasm","","","10","--","101","This is a Ghost-type attack Dynamax Pokémon use. This lowers the target's Defense stat.","physical"
"226","Max Quake","","","10","--","101","This is a Ground-type attack Dynamax Pokémon use. This raises ally Pokémon's Sp. Def stats.","physical"
"227","Max Rockfall","","","10","--","101","This is a Rock-type attack Dynamax Pokémon use. The user summons a sandstorm lasting five turns.","physical"
"228","Max Starfall","","","10","--","101","This is a Fairy-type attack Dynamax Pokémon use. The user turns the ground into Misty Terrain for five turns.","physical"
"229","Max Steelspike","","","10","--","101","This is a Steel-type attack Dynamax Pokémon use. This raises ally Pokémon's Defense stats.","physical"
"230","Max Strike","","","10","--","101","This is a Normal-type attack Dynamax Pokémon use. This lowers the target's Speed stat.","physical"
"231","Max Wyrmwind","","","10","--","101","This is a Dragon-type attack Dynamax Pokémon use. This lowers the target's Attack stat.","physical"
"232","Mega Kick","","","5","120","75","The target is attacked by a kick launched with muscle-packed power.","physical"
"233","Mega Punch","","","20","80","85","The target is slugged by a punch thrown with muscle-packed power.","physical"
"234","Megahorn","","","10","120","85","Using its tough and impressive horn, the user rams into the target with no letup.","physical"
"235","Metal Burst","","","10","--","100","The user retaliates with much greater force against the opponent that last inflicted damage on it.","physical"
"236","Metal Claw","","","35","50","95","The target is raked with steel claws. This may also raise the user's Attack stat.","physical"
"237","Meteor Assault","","","5","150","100","The user attacks wildly with its thick leek. The user can't move on the next turn, because the force of this move makes it stagger.","physical"
"238","Meteor Mash","","","10","90","90","The target is hit with a hard punch fired like a meteor. This may also raise the user's Attack stat.","physical"
"239","Mountain Gale","","","5","100","85","The user hurls giant chunks of ice at the target to inflict damage.","physical"
"240","Multi-Attack","","","10","120","100","Cloaking itself in high energy, the user slams into the target. The memory held determines the move's type.","physical"
"241","Natural Gift","","","15","--","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"242","Needle Arm","","","15","60","100","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"243","Never-Ending Nightmare","","","1","--","101","This move can't be used. It's recommended that this move is forgotten. Once forgotten, this move can't be remembered.","physical"
"244","Night Slash","","","15","70","100","The user slashes the target the instant an opportunity arises. Critical hits land more easily.","physical"
"245","Nuzzle","","","20","20","100","The user attacks by nuzzling its electrified cheeks against the target. This also leaves the target with paralysis.","physical"
