"","Name","Type","Cat.","Power","Acc.","PP","Effect"
"69","Glacial Lance","Ice","","130","100","5","The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon."
"70","Grassy Glide","Grass","","70","100","20","High priority during Grassy Terrain."
"71","Grav Apple","Grass","","80","100","10","Lowers the opponent's Defense stat."
"72","Headlong Rush","","","100","100","5",""
"73","Infernal Parade","Ghost","","60","100","15",""
"74","Jaw Lock","Dark","","80","100","10","Prevents user and opponent from switching out."
"75","Jungle Healing","Grass","","—","—","10","Restores team's HP and cures status conditions."
"76","Lash Out","Dark","","75","100","5","Double power if stats were lowered during the turn."
"77","Life Dew","Water","","—","—","10","User and teammates recover HP."
"78","Lunar Blessing","","","—","8","10",""
"79","Magic Powder","Psychic","","—","100","20","Changes target's type to Psychic."
"80","Max Airstream","Flying","—","—","—","—","Flying type Dynamax move. Raises the team's Speed."
"81","Max Darkness","Dark","—","—","—","—","Dark type Dynamax move. Lowers the target's Special Defense."
"82","Max Flare","Fire","—","—","—","—","Fire type Dynamax move. Summons harsh sunlight."
"83","Max Flutterby","Bug","—","—","—","—","Bug type Dynamax move. Lowers the target's Special Attack."
"84","Max Geyser","Water","—","—","—","—","Water type Dynamax move. Summons heavy rain."
"85","Max Guard","Normal","—","—","—","—","Status category Dynamax move. Protects the user."
"86","Max Hailstorm","Ice","—","—","—","—","Ice type Dynamax move. Summons hail."
"87","Max Knuckle","Fighting","—","—","—","—","Fighting type Dynamax move. Increases the team's Attack."
"88","Max Lightning","Electric","—","—","—","—","Electric type Dynamax move. Summons Electric Terrain."
"89","Max Mindstorm","Psychic","—","—","—","—","Psychic type Dynamax move. Summons Psychic Terrain."
"90","Max Ooze","Poison","—","—","—","—","Poison type Dynamax move. Increases the team's Special Attack."
"91","Max Overgrowth","Grass","—","—","—","—","Grass type Dynamax move. Summons Grassy Terrain."
"92","Max Phantasm","Ghost","—","—","—","—","Ghost type Dynamax move. Lowers the target's Defense."
"93","Max Quake","Ground","—","—","—","—","Ground type Dynamax move. Increases the team's Special Defense."
"94","Max Rockfall","Rock","—","—","—","—","Rock type Dynamax move. Summons a sandstorm."
"95","Max Starfall","Fairy","—","—","—","—","Fairy type Dynamax move. Summons Misty Terrain."
"96","Max Steelspike","Steel","—","—","—","—","Steel type Dynamax move. Raises the team's Defense."
"97","Max Strike","Normal","—","—","—","—","Normal type Dynamax move. Lowers the target's Speed."
"98","Max Wyrmwind","Dragon","—","—","—","—","Dragon type Dynamax move. Lowers the target's Attack."
"99","Meteor Assault","Fighting","","150","100","5","User must recharge next turn."
"100","Meteor Beam","Rock","","120","90","10","User gathers space power and boosts its Sp. Atk stat, then attacks the target on the next turn."
"101","Misty Explosion","Fairy","","100","100","5","Power increases on Misty Terrain."
"102","Mountain Gale","Ice","","100","85","5",""
"103","Mystical Power","","","70","90","10",""
"104","No Retreat","Fighting","","—","—","5","Raises all stats but user cannot switch out."
"105","Obstruct","Dark","","—","100","10","Protects the user and sharply lowers Defence on contact."
"106","Octolock","Fighting","","—","100","15","Lowers opponent's Defense and Special Defense every turn, and they cannot flee or switch out."
"107","Overdrive","Electric","","80","100","10",""
"108","Poltergeist","Ghost","","110","90","5","Fails if the target doesn’t have an item."
"109","Power Shift","Normal","","—","8","10",""
"110","Psyshield Bash","Psychic","","70","90","10",""
"111","Pyro Ball","Fire","","120","90","5","May burn opponent."
"112","Raging Fury","Fire","","90","85","10",""
"113","Rising Voltage","Electric","","70","100","20","Power doubles on Electric Terrain."
"114","Sandsear Storm","Ground","","95","80","5",""
"115","Scale Shot","Dragon","","25","90","20","Hits 2-5 times in one turn. Boosts user's Speed but lowers its Defense."
"116","Scorching Sands","Ground","","70","100","10","May burn the target."
"117","Shell Side Arm","Poison","","90","100","10","May poison opponent. Inflicts either Special or Physical damage, whichever is better."
"118","Shelter","Steel","","—","8","10",""
"119","Skitter Smack","Bug","","70","90","10","Lowers opponent's Sp. Attack."
"120","Snap Trap","Grass","","35","100","15","Traps opponent, damaging them for 4-5 turns."
"121","Snipe Shot","Water","","80","100","15","Ignores moves and abilities that draw in moves. High critical hit ratio."
"122","Spirit Break","Fairy","","75","100","15","Lowers opponent's Special Attack."
"123","Springtide Storm","Fairy","","95","80","5",""
"124","Steel Beam","Steel","","140","95","5","User loses 50% of its HP."
"125","Steel Roller","Steel","","130","100","5","Fails if no Terrain in effect."
"126","Stone Axe","Rock","","65","90","15",""
"127","Strange Steam","Fairy","","90","95","10","May confuse opponent."
"128","Stuff Cheeks","Normal","","—","—","10","The user eats its held Berry, then sharply raises its Defense stat."
"129","Surging Strikes","Water","","25","100","5","Always results in a critical hit and ignores stat changes."
"130","Take Heart","","","—","8","10",""
"131","Tar Shot","Rock","","—","100","15","Lowers the opponent's Speed and makes them weaker to Fire-type moves."
"132","Teatime","Normal","","—","—","10","Forces all Pokémon on the field to eat their berries."
"133","Terrain Pulse","Normal","","50","100","10","Type and power change depending on the Terrain in effect."
"134","Thunder Cage","Electric","","80","90","15","Deals damage and traps opponent, damaging them for 4-5 turns."
"135","Thunderous Kick","Fighting","","90","100","10","Lowers opponent's Defense."
"136","Triple Arrows","Fighting","","50","100","15",""
"137","Triple Axel","Ice","","20","90","10","Attacks thrice with more power each time."
"138","Victory Dance","","","—","8","10",""
"139","Wave Crash","Water","","75","100","10",""
"140","Wicked Blow","Dark","","80","100","5","Always results in a critical hit and ignores stat changes."
"141","Wildbolt Storm","Electric","","95","80","5",""
